iPad6,4 : iPad Pro (9.7 inch, WiFi+LTE) ; Apple A9X ; PowerVR Series 7XT ; 9.7" 2048x1536 LED-backlit IPS Display
iPad6,7 : iPad Pro (12.9 inch, WiFi) ; Apple A9X ; PowerVR Series 7XT ; 12.9" 2732x2048 LED-backlit IPS Display
iPad6,8 : iPad Pro (12.9 inch, WiFi+LTE) ; Apple A9X ; PowerVR Series 7XT ; 12.9" 2732x2048 LED-backlit IPS Display
iPad6,11 : iPad (2017) ; Apple A9 ; PowerVR GT7600 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad6,12 : iPad (2017) ; Apple A9 ; PowerVR GT7600 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad7,1 : iPad Pro 2nd Gen (WiFi) ; Apple A10X Fusion ; PowerVR Series ; 12.9" 2732x2048 LED-backlit IPS Display
iPad7,2 : iPad Pro 2nd Gen (WiFi+Cellular) ; Apple A10X Fusion ; PowerVR Series ; 12.9" 2732x2048 LED-backlit IPS Display
iPad7,3 : iPad Pro 10.5-inch ; Apple A10X Fusion ; PowerVR Series ; 10.5" 2224x1668 LED-backlit IPS Display
iPad7,4 : iPad Pro 10.5-inch ; Apple A10X Fusion ; PowerVR Series ; 10.5" 2224x1668 LED-backlit IPS Display
iPad7,5 : iPad 6th Gen (WiFi) ; Apple A10 Fusion ; PowerVR GT7600 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad7,6 : iPad 6th Gen (WiFi+Cellular) ; Apple A10 Fusion ; PowerVR GT7600 ; 9.7" 2048x1536 LED-backlit IPS Display
iPad7,11 : iPad 7th Gen 10.2-inch (WiFi) ; Apple A10 Fusion ; PowerVR GT7600 ; 10.2" 2160x1620 LED-backlit IPS Display
iPad7,12 : iPad 7th Gen 10.2-inch (WiFi+Cellular) ; Apple A10 Fusion ; PowerVR GT7600 ; 10.2" 2160x1620 LED-backlit IPS Display
iPad8,1 : iPad Pro 11 inch 3rd Gen (WiFi) ; Apple A12X Bionic ; Apple GPU ; 11" 2388x1668 LED-backlit IPS Display
iPad8,2 : iPad Pro 11 inch 3rd Gen (1TB, WiFi) ; Apple A12X Bionic ; Apple GPU ; 11" 2388x1668 LED-backlit IPS Display
iPad8,3 : iPad Pro 11 inch 3rd Gen (WiFi+Cellular) ; Apple A12X Bionic ; Apple GPU ; 11" 2388x1668 LED-backlit IPS Display
iPad8,4 : iPad Pro 11 inch 3rd Gen (1TB, WiFi+Cellular) ; Apple A12X Bionic ; Apple GPU ; 11" 2388x1668 LED-backlit IPS Display
iPad8,5 : iPad Pro 12.9 inch 3rd Gen (WiFi) ; Apple A12X Bionic ; Apple GPU ; 12.9" 2732x2048 LED-backlit IPS Display
iPad8,6 : iPad Pro 12.9 inch 3rd Gen (1TB, WiFi) ; Apple A12X Bionic ; Apple GPU ; 12.9" 2732x2048 LED-backlit IPS Display
iPad8,7 : iPad Pro 12.9 inch 3rd Gen (WiFi+Cellular) ; Apple A12X Bionic ; Apple GPU ; 12.9" 2732x2048 LED-backlit IPS Display
iPad8,8 : iPad Pro 12.9 inch 3rd Gen (1TB, WiFi+Cellular) ; Apple A12X Bionic ; Apple GPU ; 12.9" 2732x2048 LED-backlit IPS Display
iPad8,9 : iPad Pro 11 inch 4th Gen (WiFi) ; Apple A12Z Bionic ; Apple GPU ; 11" 2388x1668 LED-backlit IPS Display
